experience_level,salary,remote_ratio,company_size
MI,99980,100,L
MI,145000,100,L
EN,79000,50,M
MI,120000,100,L
EX,210000,100,L
MI,125000,100,M
SE,115000,100,L
SE,225000,100,L
EX,153000,100,L
SE,180000,100,M
MI,120000,100,L
MI,107000,100,L
EN,65000,100,L
SE,305000,100,L
SE,125000,100,L
SE,140000,50,L
SE,297000,50,L
MI,46560,100,L
SE,96000,100,L
SE,130000,100,L
SE,82000,100,L
SE,129000,100,L
SE,155000,100,L
SE,125000,100,L
EN,73000,0,M
SE,170000,100,L
SE,160000,100,L
EN,70000,100,M
MI,98000,100,L
SE,143000,100,L
MI,83500,0,L
MI,120000,100,L
MI,120000,100,M
MI,20100,100,L
EX,240000,100,L
MI,97000,100,L
SE,220000,100,L
EX,287500,50,L
SE,150000,100,M
SE,120000,100,L
SE,157000,100,L
SE,208000,100,L
SE,100500,100,L
EX,175000,100,L
SE,150000,100,L
EN,72000,100,L
SE,125000,100,L
SE,190000,50,L
EN,65000,100,L
MI,160000,50,S
MI,90000,100,S
SE,360000,100,L
SE,200000,100,L
MI,120000,100,L
EN,34000,100,L
MI,165000,100,M
SE,173000,50,L
MI,109000,0,L
MI,126000,0,M
MI,230000,50,L
SE,112000,100,M
SE,130000,50,L
SE,130000,100,L
EN,58000,100,S
MI,69000,100,L
MI,145000,50,L
MI,61000,0,M
EN,70000,100,L
SE,126000,50,L
EX,145000,100,L
EN,75000,100,L
MI,74900,0,L
SE,87000,50,L
EN,65000,100,L
MI,45000,100,L
SE,143000,50,L
SE,165000,100,L
MI,130000,100,L
SE,125000,100,L
SE,112000,50,L
SE,119500,100,L
EX,220500,100,L
EN,70000,100,L
SE,172000,100,L
SE,118000,100,S
SE,130000,100,L
MI,73300,0,L
MI,143000,100,L
SE,105000,100,S
SE,105000,0,S
MI,130000,100,L
EN,85000,100,L
SE,181000,100,L
SE,224000,100,L
SE,286000,100,L
EX,220000,100,L
SE,211000,100,L
SE,110000,100,L
MI,200000,100,L
MI,170000,100,L
SE,135000,100,L
EX,189000,100,L
EX,173000,100,M
SE,249000,100,L
SE,140000,100,L
MI,100000,50,L
SE,102000,50,L
MI,60000,100,M
SE,183000,100,L
SE,190000,100,L
MI,130000,100,L
EN,175000,100,L
MI,150000,100,M
EN,74000,50,S
SE,112000,100,L
SE,255000,100,L
SE,170000,100,L
SE,173000,0,L
MI,130000,100,L
SE,150000,100,L
EX,200000,100,L
MI,130000,100,L
MI,76000,100,L
MI,88000,100,L
EN,50000,100,S
SE,80000,100,S
MI,131800,0,L
MI,99900,0,L
MI,110000,100,M
MI,160000,50,L
MI,128000,100,L
MI,130000,0,L
MI,125000,100,L
SE,310000,100,L
EN,55000,0,L
SE,138000,100,L
EN,60000,50,L
SE,99960,0,L
MI,110000,50,L
MI,68900,100,L
MI,116000,0,S
EN,52000,50,S
MI,115500,100,L
SE,104000,100,L
EN,70000,0,L
MI,131500,0,L
MI,99950,0,L
EN,76200,50,L
MI,100000,100,M
MI,100000,50,L
SE,145000,50,L
MI,120000,100,L
MI,100000,100,M
MI,320000,50,L
EN,75000,100,S
SE,150000,100,L
SE,120000,100,L
MI,115000,100,L
MI,91700,0,L
MI,82600,0,L
SE,146000,100,L
MI,135000,50,L
SE,185000,50,L
EX,220000,50,L
EN,68500,50,M
SE,150000,100,L
MI,115000,100,M
MI,97350,100,L
SE,94000,50,L
EN,93000,100,L
SE,130000,100,L
SE,65000,50,L
EN,79000,100,L
SE,130000,100,M
SE,129998,100,M
EN,75000,100,M
SE,155000,100,S
MI,75000,100,L
SE,200000,0,M
MI,93600,100,L
MI,96500,0,L
SE,205000,100,L
EN,122000,0,L
EN,96000,50,L
EN,72000,100,L
EN,50000,100,L
EN,50000,0,L
SE,140000,100,L
MI,85000,100,S
SE,92000,100,L
MI,103000,50,L
EN,65000,100,L
SE,180000,50,L
SE,216000,100,L
MI,90000,100,M
EN,70000,50,S
SE,150000,100,M
SE,130000,100,M
SE,175000,100,L
MI,220000,50,M
EN,106000,0,L
SE,120000,100,L
EN,75000,100,L
MI,96000,50,L
EN,75000,50,L
EN,65000,100,L
EN,80000,50,L
MI,91520,0,L
SE,135600,0,L
MI,53000,0,L
MI,72000,50,M
MI,169000,50,L
MI,99000,0,L
MI,100000,100,L
MI,130000,0,M
MI,97000,100,L
MI,90000,50,L
EN,85000,100,L
MI,90000,50,L
EN,85000,0,L
MI,123000,0,L
SE,170000,100,L
EN,77000,100,L
EX,375000,100,L
MI,135000,100,M
SE,148000,50,M
SE,180000,100,L
MI,90000,100,L
EN,63700,100,L
EX,117810,0,S
MI,200000,100,L
SE,134000,100,L
MI,140000,0,L
MI,175000,50,L
SE,85000,50,L
MI,180000,50,M
SE,320000,100,L
MI,75000,100,M
